date,symbol,open,high,low,close,volume
01-03-19,FB,162.6,163.132,161.69,162.28,11097770
04-03-19,FB,163.9,167.5,163.83,167.37,18894689
05-03-19,FB,167.37,171.88,166.55,171.26,28187890
06-03-19,FB,172.9,173.57,171.27,172.51,21531723
07-03-19,FB,171.5,171.74,167.61,169.13,18306504
01-03-19,TSLA,306.94,307.13,291.9,294.79,22911375
04-03-19,TSLA,298.12,299,282.78,285.36,17096818
05-03-19,TSLA,282,284,270.1,276.54,18764740
06-03-19,TSLA,276.48,281.5058,274.39,276.24,10335485
07-03-19,TSLA,278.84,284.7,274.25,276.59,9442483
